Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
8,2015-09-23,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I recently obtained a mortgage on a parcel of land and an existing house thru Quicken Loans. The land is part of a subdivision and tax information wo n't be available until the next tax roll assessment. Until that assessment is complete, I pay out of pocket to the original owner of all of the parcels, my share of the taxes. What Quicken is doing however is forcing me to make Escrow payments equal to the tax of all of the parcels knowing that the amount is incorrect and significantly overstated. What I am told is that absent having the specific amount for my parcel, they can collect the amount of all of the parcels. And yes they know this is in error and acknowledge that it is in error. That defies all logic.",,"Rocket Mortgage, LLC",NY,124XX,,Consent provided,Web,09/23/15,Closed with explanation,Yes,No,1576661
248,2015-09-22,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Northest Collections Agency XXXX. They have the wrong phone number, I have repeatedly asked them "" nicely '' to stop calling to no avail.",Company believes it acted appropriately as authorized by contract or law,"Commonwealth Financial Systems, Inc.",NY,XXXXX,,Consent provided,Web,09/22/15,Closed with explanation,Yes,No,1574218
266,2015-10-19,Credit card,,Customer service / Customer relations,,"Recently I contacted my credit card Capital One to find out how much the minimum amount was due for payment and was told that {$120.00} would suffice. Once I paid the bill a few weeks later I had a family emergency where my dogs XXXX was XXXX and we raced to the hospital to tend to him. At the time I needed gas so that I could return back with the family and I had my sister and my XXXX mother in the car with me. Over the internet the credit card indicated that I had monies available. To our shock and surprise, the card was declined because I later found out that there was a hold on the credit card. I can not explain the weight of how embarrassed and mortified I was in front of my family and the gas station attendant. Why would the Capital One website indicate that monies were available? To add insult to injury, the customer service representatives were clearly unfazed by my plea and situation. They were rude, unprofessional, abrupt and quickly disconnected the call. Prior to the disconnect, I was also told that I had to pay an additional {$75.00} with no explanation. At this point, the responses I received were callus, rude and abrupt. No one ever explained where this amount came from however when I checked back and got a supervisor I was told that I did n't owe {$75.00} because the money was waived for some odd reason. I am still unaware why I was charged initially and why it was waived. Maybe it waived due to the cruel and horrible treatment I received. To date, I needed the monies for food for my family since the amount available had changed from gas money to {$59.00} being available. Realizing that this company communicates one thing and is not always forthcoming, I decided to contact them before I embarrass myself it I used the card and it was declined. Now I am being told that I need to pay {$24.00} because when I previously paid {$120.00} I needed to pay {$140.00}. Why was n't this information made available to me previously? Why was I charged {$75.00} and then it was waived? Why does it say that I have available credit over the internet and phone line when the card has a freeze/hold on it? This company is unethical, unprofessional and constantly misinforming me regarding my bill. I have no idea what is going on and they need to stop. What 's in my wallet is nothing because I am constantly being mislead by a heartless company that refuses to make any exceptions to life 's situations.",,CAPITAL ONE FINANCIAL CORPORATION,NY,10465,,Consent provided,Web,10/19/15,Closed with explanation,Yes,No,1614320
270,2015-06-05,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Thank you for taking the time to review my inquiry. I am an Ocwen customer who suffered damages as a result of XXXX XXXX. My insurance co had mailed me a XXXX party check for repairs of my home. I sent the check to Ocwen, they endorsed it and mailed it back to me. I endorsed the check and deposited it in my personal bank account. I used the funds to pay my contractors as I was supposed to do. In XXXX of 2014 I attempted to make my regular monthly mortgage pymt and was not allowed to as I had been charged XXXX in "" fees '' on top of my payment and was not able to make a partial pymt, The "" fees '' they are referring to is the XXXX in insurance money that was never due to them, nor will it ever be due to them. I have complained multiple times and have reached out to Ocwen customer service and their research dept but have gotten nowhere. In an effort to save my home I applied for a modification which was recently approved however they still have not removed the XXXX in "" fees '' and as such my payment has gone up considerably. While I am grateful for the modification offer, I can not accept it until the "" fees '' are removed. I have contacted the XXXX for assistance with dealing with Ocwen as they do not operate in the XXXX and I was given this agency 's information for assistance. 

I thank you for your time and attention to this matter and look forward to working with you to resolve my mortgage issues.",,Ocwen Financial Corporation,NY,11701,,Consent provided,Web,06/09/15,Closed with explanation,Yes,No,1407835
273,2015-08-07,Credit card,,Credit determination,,"On XXXX/XXXX/15, I accepted an invitation on an interstitial screen of my paypal account to apply for paypal credit, dba billmelater.com. I completed the online application quickly and the next screen said I would have an instantaneous decision. I was rejected for credit w/no explanation. 

I have a FICO score of XXXX and am a person of wealth. I found the company 's credit decision shocking. I phoned their call center and was told I would receive an e-mail explaining why I was rejected and that it would be send to the e-mail address on file for my paypal acct. 

I have never recd an communication from this company about this or anything else. 

This violates Federal banking and credit laws. If my credit has been compromised or damaged as a result, I need to file charges against paypal credit, but I can not do so w/out a full explanation of their decision. 

If this has happened to me, I have to conclude it has happened to many others. You need to investigate them",,"Paypal Holdings, Inc",NY,10990,,Consent provided,Web,08/10/15,Closed with explanation,Yes,Yes,1509143
288,2015-10-23,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,I took out a loan for XXXX semesters for student housing at the College XXXX. ( Original Creditor ) Since I transferred to a different school my XXXX semester they are stating that I owe money from the loan that was taken out. They sent that bill to a collection agency who wont provide me any proof of this balance. This balance gave me a hold on my transcripts which means I can not further my education without this token care of.,Company chooses not to provide a public response,Southern Management Systems Inc.,NY,10457,,Consent provided,Web,11/16/15,Closed with explanation,Yes,No,1622638
343,2015-09-10,Consumer Loan,Vehicle lease,Managing the loan or lease,,"XXXX XXXX XXXX, XX/XX/2015On XX/XX/XXXX I sent you this complaint with photos and other evidence. You sent me an answer but not a number or any other information. I am sending you just the letter and hope you give instructions to go on. Thank youConsumer Financial Protection Bureau. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XX/XX/2015XX/XX/XXXX I received a bill from XXXX XXXX XXXX XXXX. 
located at XXXX XXXX XXXX , XXXX, XXXX XXXXRe Claim XXXX Lexus CT 200H Lease # XXXX Aptrack # XXXXThey claimed the bill was for repairs when I returned a leased 2011 Lexus CT 200H. 
XXXX ( parts ), XXXX ( body labor ), XXXX ( paint labor ), XXXX ( paint supplies ) and XXXX ( body supplies ). The total was {$4.00}. 

I protested and XXXX lowered the charges to {$2.00}. XXXX to be paid in in three installments of {$890.00}. I finished paying XX/XX/XXXX. 

There was the arbitration option that I could not take because I had several tripsahead of me. XXXX had threatened to hurt my excellent credit history. 

I am still very upset because the car had been inspected by an expert from XXXX just before I returned it and he noted on his report ( enclosed ) : "" car condition : "" EXCELLENT "". He also took pictures ( enclosed ). 
I had made all the repairs recommended by XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX for the amount estimated by XXXX. The check from XXXX was sent directly to XXXX XXXX. 

The car had only XXXX miles on it. XXXX never gave me any credit for wear and tear nor for the low mileage. 
I have leased cars in XXXX for 21 years and was never charged more than few hundred dollars for repairs when I returned them. 

I am not sure if you can do anything for me but I am sure that I am not the only victim of XXXX 's abusive charges. 

Thank you,XXXX XXXX XXXX XXXXXXXXXXXX",Company chooses not to provide a public response,BB&T CORPORATION,NY,10003,,Consent provided,Web,09/17/15,Closed with explanation,Yes,Yes,1559528
367,2015-08-18,Bank account or service,Checking account,"Account opening, closing, or management",,"Bank of America Missouri reported "" suspected Fraud '' to my XXXX profile due to XXXX payroll checks having been returned NSF. I disputed the report with XXXX and they are now reporting the information has been verified using information obtained from Bank of America which is not justified and defamatory.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,117XX,,Consent provided,Web,08/19/15,Closed with non-monetary relief,Yes,No,1523784
510,2015-06-16,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"I have been the victim of identity theft on XXXX occasions in the past year. 
XXXX have been cell phone fraud and the latest has was credit card fraud. 
I have frozen my reports with the XXXX major credit bureaus and seek to freeze my LexisNexis report because they furnish cell phones companies with information about me. 
LexisNexis has denied my request to freeze my report. 
Please assist me in freezing my LexisNexis consumer report.",,LEXISNEXIS,NY,10312,,Consent provided,Web,06/16/15,Closed with explanation,Yes,No,1424592
560,2015-04-24,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Key Bank called my cell phone on Friday, XXXX XXXX asking to speak to someone other than myself. When I informed them that they had the wrong number the caller became irate and accused me of lying about the fact that they had indeed called the wrong number. I believe that Key Bank is also responsible for a call I received XXXX weeks ago from an attorney 's office looking to collect a debt. They left a message and when I called them back they told me they had no information to give me as to why they called but wanted me to volunteer my name which I refused to do.",,KEYCORP,NY,114XX,,Consent provided,Web,04/24/15,Closed with explanation,Yes,No,1346729
